Date,Time,GameRound,GameNumber,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Stadium,GameCity,GameLink,HomeTeamPoints,AwayTeamPoints
09/04/2022,16:30,Rodada 1,2,Fluminense,Santos,0,0,Maracanã,Rio de Janeiro,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/2?ref=botao,1,1
09/04/2022,19:00,Rodada 1,8,Atlético-GO,Flamengo,1,1,Antônio Accioly,Goiania,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/8?ref=botao,1,1
09/04/2022,21:00,Rodada 1,4,Palmeiras,Ceará,2,3,Allianz Parque,Sao Paulo,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/4?ref=botao,0,3
10/04/2022,11:00,Rodada 1,10,Coritiba,Goiás,3,0,Couto Pereira,Curitiba,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/10?ref=botao,3,0
10/04/2022,16:00,Rodada 1,1,Atlético Mineiro,Internacional,2,0,Mineirão,Belo Horizonte,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/1?ref=botao,3,0
10/04/2022,16:00,Rodada 1,5,Botafogo,Corinthians,1,3,Nilton Santos,Rio de Janeiro,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/5?ref=botao,0,3
10/04/2022,18:00,Rodada 1,7,Fortaleza,Cuiabá,0,1,Arena Castelão,Fortaleza,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/7?ref=botao,0,3
10/04/2022,19:00,Rodada 1,9,Avaí,América-MG,1,0,Ressacada,Florianopolis,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/9?ref=botao,3,0
10/04/2022,19:00,Rodada 1,3,São Paulo,Athletico Paranaense,4,0,Morumbi,Sao Paulo,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/3?ref=botao,3,0
11/04/2022,20:00,Rodada 1,6,Juventude,Red Bull Bragantino,2,2,Alfredo Jaconi,Caxias do Sul,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/6?ref=botao,1,1
16/04/2022,16:30,Rodada 2,18,Goiás,Palmeiras,1,1,Hailé Pinheiro,Goiania,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/18?ref=botao,1,1
16/04/2022,19:00,Rodada 2,11,América-MG,Juventude,4,1,Independência,Belo Horizonte,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/11?ref=botao,3,0
16/04/2022,19:00,Rodada 2,14,Corinthians,Avaí,3,0,Neo Química Arena,Sao Paulo,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/14?ref=botao,3,0
16/04/2022,21:00,Rodada 2,19,Cuiabá,Fluminense,0,1,Arena Pantanal,Cuiaba,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/19?ref=botao,0,3
17/04/2022,11:00,Rodada 2,15,Santos,Coritiba,2,1,Vila Belmiro,Santos,https://www.cbf.com.br/futebol-brasileiro/competicoes/campeonato-brasileiro-serie-a/2022/15?ref=botao,3,0
