PlayerName,Team,Gols,PlayerLink
German Ezequiel Cano,Fluminense,27,https://www.cbf.com.br/futebol-brasileiro/atletas/691654?exercicio=2022
Pedro Raul Garay da Silva,Goiás,19,https://www.cbf.com.br/futebol-brasileiro/atletas/502361?exercicio=2022
Jonathan Calleri,São Paulo,18,https://www.cbf.com.br/futebol-brasileiro/atletas/541246?exercicio=2022
Guilherme Bissoli Campos,Avaí,14,https://www.cbf.com.br/futebol-brasileiro/atletas/322642?exercicio=2022
Marcos Leonardo Santos Almeida,Santos,13,https://www.cbf.com.br/futebol-brasileiro/atletas/568013?exercicio=2022
Miguel David Terans Perez,Athletico Paranaense,12,https://www.cbf.com.br/futebol-brasileiro/atletas/630170?exercicio=2022
Ronielson da Silva Barbosa,Palmeiras,12,https://www.cbf.com.br/futebol-brasileiro/atletas/427806?exercicio=2022
Givanildo Vieira de Sousa,Atlético Mineiro,12,https://www.cbf.com.br/futebol-brasileiro/atletas/163056?exercicio=2022
Pedro Guilherme Abreu dos Santos,Flamengo,11,https://www.cbf.com.br/futebol-brasileiro/atletas/303716?exercicio=2022
Gabriel Barbosa Almeida,Flamengo,11,https://www.cbf.com.br/futebol-brasileiro/atletas/337830?exercicio=2022
Luciano da Rocha Neves,São Paulo,11,https://www.cbf.com.br/futebol-brasileiro/atletas/346745?exercicio=2022
Luan Candido de Almeida,Red Bull Bragantino,11,https://www.cbf.com.br/futebol-brasileiro/atletas/540157?exercicio=2022
John Steven Mendoza Valencia,Ceará,10,https://www.cbf.com.br/futebol-brasileiro/atletas/522146?exercicio=2022
Alef Mangueira Severino Pereira,Coritiba,10,https://www.cbf.com.br/futebol-brasileiro/atletas/422347?exercicio=2022
Roger Krug Guedes,Corinthians,10,https://www.cbf.com.br/futebol-brasileiro/atletas/389307?exercicio=2022
Gustavo Raul Gomez Portillo,Palmeiras,9,https://www.cbf.com.br/futebol-brasileiro/atletas/633571?exercicio=2022
Alexandre Zurawski,Internacional,8,https://www.cbf.com.br/futebol-brasileiro/atletas/420130?exercicio=2022
Yuri Alberto Monteiro da Silva,Corinthians,8,https://www.cbf.com.br/futebol-brasileiro/atletas/436395?exercicio=2022
Wellington Soares da Silva,Atlético-GO,8,https://www.cbf.com.br/futebol-brasileiro/atletas/307285?exercicio=2022
Leonardo Gamalho de Souza,Coritiba,8,https://www.cbf.com.br/futebol-brasileiro/atletas/168982?exercicio=2022
Alan Patrick Lourenço,Internacional,7,https://www.cbf.com.br/futebol-brasileiro/atletas/305976?exercicio=2022
Pedro Henrique Konzen Medina da Silva,Internacional,7,https://www.cbf.com.br/futebol-brasileiro/atletas/302136?exercicio=2022
Thiago Galhardo do Nascimento Rocha,Fortaleza,7,https://www.cbf.com.br/futebol-brasileiro/atletas/189822?exercicio=2022
Eduardo Pereira Rodrigues,Palmeiras,7,https://www.cbf.com.br/futebol-brasileiro/atletas/291738?exercicio=2022
Gustavo Henrique Furtado Scarpa,Palmeiras,7,https://www.cbf.com.br/futebol-brasileiro/atletas/313426?exercicio=2022
Erison Danilo de Souza,Botafogo,7,https://www.cbf.com.br/futebol-brasileiro/atletas/605477?exercicio=2022
Moises Vieira da Veiga,Fortaleza,7,https://www.cbf.com.br/futebol-brasileiro/atletas/583022?exercicio=2022
Diego Churin,Atlético-GO,7,https://www.cbf.com.br/futebol-brasileiro/atletas/705188?exercicio=2022
Jhon Adolfo Arias Andrade,Fluminense,7,https://www.cbf.com.br/futebol-brasileiro/atletas/728790?exercicio=2022
Wanderson Maciel Sousa Campos,Internacional,6,https://www.cbf.com.br/futebol-brasileiro/atletas/753325?exercicio=2022
Artur Victor Guimaraes,Red Bull Bragantino,6,https://www.cbf.com.br/futebol-brasileiro/atletas/419646?exercicio=2022
Alerrandro Barra Mansa Realino de Souza,Red Bull Bragantino,6,https://www.cbf.com.br/futebol-brasileiro/atletas/441844?exercicio=2022
Mauricio Magalhaes Prado,Internacional,6,https://www.cbf.com.br/futebol-brasileiro/atletas/542337?exercicio=2022
Deyverson Brum Silva,Cuiabá,6,https://www.cbf.com.br/futebol-brasileiro/atletas/359696?exercicio=2022
Francisco das Chagas Soares dos Santos,Botafogo,6,https://www.cbf.com.br/futebol-brasileiro/atletas/301823?exercicio=2022
Edenilson Andrade dos Santos,Internacional,6,https://www.cbf.com.br/futebol-brasileiro/atletas/306270?exercicio=2022
Henrique Almeida Caixeta Nascentes,América-MG,6,https://www.cbf.com.br/futebol-brasileiro/atletas/178303?exercicio=2022
Nicolas Godinho Johann,Goiás,5,https://www.cbf.com.br/futebol-brasileiro/atletas/179934?exercicio=2022
Paulo Henrique Chagas de Lima,Fluminense,5,https://www.cbf.com.br/futebol-brasileiro/atletas/184364?exercicio=2022
Adilson dos Anjos Oliveira,América-MG,5,https://www.cbf.com.br/futebol-brasileiro/atletas/337261?exercicio=2022
Murilo Cerqueira Paim,Palmeiras,5,https://www.cbf.com.br/futebol-brasileiro/atletas/392224?exercicio=2022
Patrick Bezerra do Nascimento,São Paulo,5,https://www.cbf.com.br/futebol-brasileiro/atletas/315585?exercicio=2022
Lucas Braga Ribeiro,Santos,5,https://www.cbf.com.br/futebol-brasileiro/atletas/541268?exercicio=2022
