TeamName,Score,Wins,Draws,Defeats,Gols,%
Palmeiras,81,23,12,3,64,71
Internacional,73,20,13,5,57,64
Fluminense,70,21,7,10,62,61
Corinthians,65,18,11,9,42,57
Flamengo,62,18,8,12,59,54
Athletico Paranaense,58,16,10,12,45,50
Atlético Mineiro,58,15,13,10,43,50
Fortaleza,55,15,10,13,45,48
São Paulo,54,13,15,10,55,47
América-MG,53,15,8,15,40,46
Botafogo,53,15,8,15,40,46
Santos,47,12,11,15,42,41
Goiás,46,11,13,14,40,40
Red Bull Bragantino,44,11,11,16,48,38
Coritiba,42,12,6,20,39,36
Cuiabá,41,10,11,17,31,35
Ceará,37,7,16,15,33,32
Atlético-GO,36,8,12,18,38,31
Avaí,35,9,8,21,34,30
Juventude,22,3,13,22,27,19
